create_time,distance,achievement,step_count,recommendation,day_time,speed,deviceuuid,active_time,source_package_name,pkg_name,update_time,walk_step_count,binning_data,datauuid,calorie,run_step_count,source_info,healthy_step
17:35.9,485.76,76187f0e-85fd-4a27-867a-8edd66e56635.achievement.json,625,6000,1.58388E+12,2.7777774,eyB2V5o7BM,332015,com.sec.android.app.shealth,com.sec.android.app.shealth,16:25.6,611,76187f0e-85fd-4a27-867a-8edd66e56635.binning_data.json,76187f0e-85fd-4a27-867a-8edd66e56635,24.12,14,,0
27:06.8,606.1949,0191378f-49a0-4eb3-aa29-260c828ffc61.achievement.json,791,6000,1.58406E+12,1.3560842,VfS0qUERdZ,447018,com.sec.android.app.shealth,com.sec.android.app.shealth,44:29.7,763,0191378f-49a0-4eb3-aa29-260c828ffc61.binning_data.json,0191378f-49a0-4eb3-aa29-260c828ffc61,28.042313,28,0191378f-49a0-4eb3-aa29-260c828ffc61.source_info.json,0
17:35.4,500.72275,f92956f0-fead-4e68-837d-ce597d0ae2a8.achievement.json,644,6000,1.58388E+12,1.4693031,VfS0qUERdZ,340789,com.sec.android.app.shealth,com.sec.android.app.shealth,16:25.9,630,f92956f0-fead-4e68-837d-ce597d0ae2a8.binning_data.json,f92956f0-fead-4e68-837d-ce597d0ae2a8,24.781767,14,f92956f0-fead-4e68-837d-ce597d0ae2a8.source_info.json,0
40:19.8,640.3,d78ea553-4abe-43d3-bf0b-5f05ae277fe0.achievement.json,851,6000,1.58432E+12,2.4722226,eyB2V5o7BM,476894,com.sec.android.app.shealth,com.sec.android.app.shealth,40:19.8,850,d78ea553-4abe-43d3-bf0b-5f05ae277fe0.binning_data.json,d78ea553-4abe-43d3-bf0b-5f05ae277fe0,30.42,1,,0
43:58.9,1065.64,0a1558b2-32d2-487d-be02-283c17dfbd7e.achievement.json,1377,6000,1.58458E+12,2.75,eyB2V5o7BM,720661,com.sec.android.app.shealth,com.sec.android.app.shealth,48:25.8,1356,0a1558b2-32d2-487d-be02-283c17dfbd7e.binning_data.json,0a1558b2-32d2-487d-be02-283c17dfbd7e,50.16,21,,0
40:28.0,5.2969055,891cf781-19d0-47c3-9098-1f6d30ca6143.achievement.json,7,6000,1.58466E+12,1.5604702,7n2EPhZRXI,3394,com.sec.android.app.shealth,com.sec.android.app.shealth,40:28.0,7,891cf781-19d0-47c3-9098-1f6d30ca6143.binning_data.json,891cf781-19d0-47c3-9098-1f6d30ca6143,0.23733458,0,,0
27:06.4,561.52,f63ee622-a2ce-4205-b519-fd11217966fd.achievement.json,738,6000,1.58406E+12,2.6111114,eyB2V5o7BM,421334,com.sec.android.app.shealth,com.sec.android.app.shealth,44:19.1,710,f63ee622-a2ce-4205-b519-fd11217966fd.binning_data.json,f63ee622-a2ce-4205-b519-fd11217966fd,26.13,28,,0
40:19.8,1171.64,38e4506a-487e-431e-9cf2-fea341640207.achievement.json,1539,6000,1.58423E+12,2.9444442,eyB2V5o7BM,852347,com.sec.android.app.shealth,com.sec.android.app.shealth,40:19.8,1510,38e4506a-487e-431e-9cf2-fea341640207.binning_data.json,38e4506a-487e-431e-9cf2-fea341640207,58.14,29,,0
41:02.0,11.97,37f76175-b4bd-4d68-8fef-dea089dc1095.achievement.json,16,6000,1.58475E+12,1.3333333,VfS0qUERdZ,8977,com.sec.android.app.shealth,com.sec.android.app.shealth,41:02.0,16,37f76175-b4bd-4d68-8fef-dea089dc1095.binning_data.json,37f76175-b4bd-4d68-8fef-dea089dc1095,0.58,0,37f76175-b4bd-4d68-8fef-dea089dc1095.source_info.json,0
22:48.6,2485.65,73c94479-34b8-4bfa-88c5-dd9e0fbf2d38.achievement.json,3226,6000,1.58959E+12,3.3055556,eyB2V5o7BM,1703843,com.sec.android.app.shealth,com.sec.android.app.shealth,22:48.6,3147,73c94479-34b8-4bfa-88c5-dd9e0fbf2d38.binning_data.json,73c94479-34b8-4bfa-88c5-dd9e0fbf2d38,119.41,79,,0
43:58.9,1991.231,fe8cf237-e42c-4274-81d7-8c0c094cf1ce.achievement.json,2663,6000,1.58449E+12,4.0555553,eyB2V5o7BM,1431168,com.sec.android.app.shealth,com.sec.android.app.shealth,43:58.9,2660,fe8cf237-e42c-4274-81d7-8c0c094cf1ce.binning_data.json,fe8cf237-e42c-4274-81d7-8c0c094cf1ce,95.36,3,,0
30:00.5,14.962742,68a8b8ba-7c7c-43de-8906-c1fff9ad830c.achievement.json,19,6000,1.58388E+12,1.707973,7n2EPhZRXI,8760,com.sec.android.app.shealth,com.sec.android.app.shealth,30:00.5,19,68a8b8ba-7c7c-43de-8906-c1fff9ad830c.binning_data.json,68a8b8ba-7c7c-43de-8906-c1fff9ad830c,0.6617671,0,,0
40:42.7,2807.7068,2f5d0296-c487-4e4e-8cee-27b93606aa41.achievement.json,3697,6000,1.58967E+12,1.3304127,VfS0qUERdZ,2110402,com.sec.android.app.shealth,com.sec.android.app.shealth,16:07.8,3679,2f5d0296-c487-4e4e-8cee-27b93606aa41.binning_data.json,2f5d0296-c487-4e4e-8cee-27b93606aa41,123.60428,18,2f5d0296-c487-4e4e-8cee-27b93606aa41.source_info.json,0
